Short name,Date,N.PRB.UL.DrbUsed.Avg[%],N.ThpVol.UL,N.User.RRCConn.Active.UL.Avg
cell230,2025-02-14 20:15:00,0.028846153846153844,1221.592,0.008
cell230,2025-02-14 20:30:00,0.025,630.8,0.006
cell230,2025-02-14 20:45:00,0.032692307692307694,1874.816,0.007
cell230,2025-02-14 21:00:00,0.0019230769230769232,92.08,0.001
cell230,2025-02-14 21:15:00,0.03076923076923077,1000.4,0.008
cell230,2025-02-14 21:30:00,0.04423076923076923,1155.16,0.01
cell230,2025-02-14 21:45:00,0.05,1792.808,0.025
cell230,2025-02-14 22:00:00,0.04615384615384615,341.848,0.004
cell230,2025-02-14 22:15:00,0.007692307692307693,108.24,0.003
cell230,2025-02-14 22:30:00,0.023076923076923075,873.768,0.008
cell230,2025-02-14 22:45:00,0.0,0.28,0.001
cell230,2025-02-14 23:00:00,0.3961538461538462,11067.536,0.08
cell230,2025-02-14 23:15:00,0.04807692307692308,1462.76,0.016
cell230,2025-02-14 23:30:00,0.023076923076923075,829.848,0.006
cell230,2025-02-14 23:45:00,0.009615384615384616,52.328,0.003
cell230,2025-02-15 00:00:00,0.011538461538461537,144.656,0.005
cell230,2025-02-15 00:15:00,0.015384615384615385,859.248,0.006
cell230,2025-02-15 00:30:00,0.0,0.0,0.0
cell230,2025-02-15 00:45:00,0.005769230769230769,176.608,0.002
cell230,2025-02-15 01:00:00,0.0019230769230769232,32.904,0.001
cell230,2025-02-15 01:15:00,0.007692307692307693,111.96,0.004
cell230,2025-02-15 01:30:00,0.0,1.6,0.0
cell230,2025-02-15 01:45:00,0.0019230769230769232,63.168,0.001
cell230,2025-02-15 02:00:00,1.9846153846153847,304400.896,0.024
cell230,2025-02-15 02:15:00,0.05961538461538462,4334.112,0.006
cell230,2025-02-15 02:30:00,0.038461538461538464,1226.856,0.007
cell230,2025-02-15 02:45:00,0.0019230769230769232,10.784,0.0
cell230,2025-02-15 03:00:00,0.02115384615384615,872.296,0.005
cell230,2025-02-15 03:15:00,0.0,0.04,0.0
cell230,2025-02-15 03:30:00,0.0,0.0,0.0
cell230,2025-02-15 03:45:00,0.0019230769230769232,0.24,0.0
cell230,2025-02-15 04:00:00,0.0019230769230769232,3.024,0.001
cell230,2025-02-15 04:15:00,0.0038461538461538464,69.784,0.002
cell230,2025-02-15 04:30:00,0.0,0.12,0.0
cell230,2025-02-15 04:45:00,0.0,0.0,0.0
cell230,2025-02-15 05:00:00,0.0,0.04,0.0
cell230,2025-02-15 05:15:00,0.0,0.28,0.001
cell230,2025-02-15 05:30:00,0.0,0.08,0.0
cell230,2025-02-15 05:45:00,1.3076923076923077,177125.864,0.017
cell230,2025-02-15 06:00:00,2.6653846153846152,386213.736,0.04
cell230,2025-02-15 06:15:00,0.0,0.04,0.0
cell230,2025-02-15 06:30:00,0.0038461538461538464,94.72,0.002
cell230,2025-02-15 06:45:00,0.0019230769230769232,15.48,0.001
cell230,2025-02-15 07:00:00,0.0,0.08,0.0
cell230,2025-02-15 07:15:00,0.0,0.0,0.0
